Retailer,Retailer ID,Invoice Date,Region,City,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin (%),Sales Method
Adidas Mumbai,RET-1421,2025-06-27,West,Mumbai,Maharashtra,Superstar,8999,16,143984,15339.58,10.65,Online
Adidas Bengaluru,RET-1422,2025-06-05,South,Bengaluru,Karnataka,Ultraboost 22,18999,11,208989,21743.04,10.4,Online
Adidas Bengaluru,RET-1423,2025-06-30,South,Bengaluru,Karnataka,Climacool T-shirt,2499,40,99960,22626.03,22.64,Online
Adidas Delhi,RET-1424,2025-06-17,North,Delhi,Delhi,Adizero SL,11999,16,191984,20462.29,10.66,Retail Store
Adidas Bengaluru,RET-1425,2025-06-27,South,Bengaluru,Karnataka,Adizero SL,11999,6,71994,12874.08,17.88,Online
Adidas Kolkata,RET-1426,2025-06-04,East,Kolkata,West Bengal,Track Jacket,4999,30,149970,20443.55,13.63,Online
Adidas Chennai,RET-1427,2025-06-22,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,22,54978,8639.18,15.71,Online
Adidas Delhi,RET-1428,2025-06-07,North,Delhi,Delhi,Adizero SL,11999,47,563953,138287.66,24.52,Online
Adidas Bengaluru,RET-1429,2025-06-03,South,Bengaluru,Karnataka,Ultraboost 22,18999,39,740961,102802.18,13.87,Online
Adidas Chennai,RET-1430,2025-06-10,South,Chennai,Tamil Nadu,Superstar,8999,31,278969,54039.85,19.37,Online
Adidas Bengaluru,RET-1431,2025-06-08,South,Bengaluru,Karnataka,Track Jacket,4999,19,94981,15046.43,15.84,Retail Store
Adidas Bengaluru,RET-1432,2025-06-06,South,Bengaluru,Karnataka,Adizero SL,11999,26,311974,33431.17,10.72,Online
Adidas Bengaluru,RET-1433,2025-06-24,South,Bengaluru,Karnataka,Adizero SL,11999,11,131989,26579.35,20.14,Retail Store
Adidas Chennai,RET-1434,2025-06-19,South,Chennai,Tamil Nadu,Superstar,8999,13,116987,19487.17,16.66,Retail Store
Adidas Bengaluru,RET-1435,2025-06-15,South,Bengaluru,Karnataka,Sports Cap,999,50,49950,11913.28,23.85,Retail Store
Adidas Mumbai,RET-1436,2025-06-27,West,Mumbai,Maharashtra,Ultraboost 22,18999,18,341982,65250.7,19.08,Retail Store
Adidas Mumbai,RET-1437,2025-06-02,West,Mumbai,Maharashtra,Climacool T-shirt,2499,41,102459,21775.65,21.25,Retail Store
Adidas Mumbai,RET-1438,2025-06-06,West,Mumbai,Maharashtra,Sports Cap,999,49,48951,9624.39,19.66,Retail Store
Adidas Mumbai,RET-1439,2025-06-14,West,Mumbai,Maharashtra,Adizero SL,11999,20,239980,52763.36,21.99,Online
Adidas Mumbai,RET-1440,2025-06-29,West,Mumbai,Maharashtra,Ultraboost 22,18999,27,512973,123135.23,24.0,Retail Store
Adidas Mumbai,RET-1441,2025-06-03,West,Mumbai,Maharashtra,Superstar,8999,36,323964,34666.98,10.7,Retail Store
Adidas Mumbai,RET-1442,2025-06-30,West,Mumbai,Maharashtra,Sports Cap,999,17,16983,3554.47,20.93,Online
Adidas Delhi,RET-1443,2025-06-13,North,Delhi,Delhi,Superstar,8999,32,287968,42873.96,14.89,Online
Adidas Mumbai,RET-1444,2025-06-21,West,Mumbai,Maharashtra,Climacool T-shirt,2499,30,74970,8083.14,10.78,Online
Adidas Chennai,RET-1445,2025-06-10,South,Chennai,Tamil Nadu,Superstar,8999,43,386957,93330.75,24.12,Retail Store
Adidas Mumbai,RET-1446,2025-06-13,West,Mumbai,Maharashtra,Climacool T-shirt,2499,42,104958,23276.76,22.18,Retail Store
Adidas Bengaluru,RET-1447,2025-06-15,South,Bengaluru,Karnataka,Adizero SL,11999,17,203983,40496.2,19.85,Retail Store
Adidas Delhi,RET-1448,2025-06-13,North,Delhi,Delhi,Adizero SL,11999,25,299975,54384.06,18.13,Retail Store
Adidas Mumbai,RET-1449,2025-06-01,West,Mumbai,Maharashtra,Climacool T-shirt,2499,43,107457,20359.23,18.95,Retail Store
Adidas Kolkata,RET-1450,2025-06-26,East,Kolkata,West Bengal,Sports Cap,999,30,29970,4061.13,13.55,Online
Adidas Mumbai,RET-1451,2025-06-17,West,Mumbai,Maharashtra,Superstar,8999,45,404955,59723.7,14.75,Retail Store
Adidas Delhi,RET-1452,2025-06-14,North,Delhi,Delhi,Ultraboost 22,18999,48,911952,145756.78,15.98,Online
Adidas Chennai,RET-1453,2025-06-14,South,Chennai,Tamil Nadu,Adizero SL,11999,23,275977,61179.71,22.17,Retail Store
Adidas Chennai,RET-1454,2025-06-22,South,Chennai,Tamil Nadu,Adizero SL,11999,33,395967,85481.14,21.59,Retail Store
Adidas Kolkata,RET-1455,2025-06-10,East,Kolkata,West Bengal,Sports Cap,999,26,25974,3066.95,11.81,Online
Adidas Bengaluru,RET-1456,2025-06-22,South,Bengaluru,Karnataka,Track Jacket,4999,38,189962,19752.22,10.4,Retail Store
Adidas Delhi,RET-1457,2025-06-04,North,Delhi,Delhi,Ultraboost 22,18999,13,246987,31636.18,12.81,Online
Adidas Mumbai,RET-1458,2025-06-03,West,Mumbai,Maharashtra,Sports Cap,999,41,40959,9746.15,23.79,Online
Adidas Chennai,RET-1459,2025-06-23,South,Chennai,Tamil Nadu,Adizero SL,11999,20,239980,25475.74,10.62,Retail Store
Adidas Chennai,RET-1460,2025-06-22,South,Chennai,Tamil Nadu,Superstar,8999,16,143984,30467.41,21.16,Retail Store
Adidas Delhi,RET-1461,2025-06-08,North,Delhi,Delhi,Track Jacket,4999,48,239952,43799.46,18.25,Retail Store
Adidas Kolkata,RET-1462,2025-06-14,East,Kolkata,West Bengal,Climacool T-shirt,2499,41,102459,21293.03,20.78,Online
Adidas Chennai,RET-1463,2025-06-29,South,Chennai,Tamil Nadu,Sports Cap,999,18,17982,2363.55,13.14,Retail Store
Adidas Kolkata,RET-1464,2025-06-20,East,Kolkata,West Bengal,Track Jacket,4999,28,139972,22342.34,15.96,Online
Adidas Mumbai,RET-1465,2025-06-29,West,Mumbai,Maharashtra,Ultraboost 22,18999,32,607968,92716.78,15.25,Online
Adidas Bengaluru,RET-1466,2025-06-23,South,Bengaluru,Karnataka,Superstar,8999,24,215976,29482.1,13.65,Retail Store
Adidas Mumbai,RET-1467,2025-06-05,West,Mumbai,Maharashtra,Ultraboost 22,18999,26,493974,96339.0,19.5,Online
Adidas Mumbai,RET-1468,2025-06-10,West,Mumbai,Maharashtra,Track Jacket,4999,45,224955,47604.8,21.16,Online
Adidas Delhi,RET-1469,2025-06-11,North,Delhi,Delhi,Adizero SL,11999,13,155987,28702.63,18.4,Online
Adidas Delhi,RET-1470,2025-06-19,North,Delhi,Delhi,Track Jacket,4999,25,124975,20624.18,16.5,Retail Store
Adidas Delhi,RET-1471,2025-06-27,North,Delhi,Delhi,Superstar,8999,33,296967,40633.35,13.68,Online
Adidas Delhi,RET-1472,2025-06-22,North,Delhi,Delhi,Track Jacket,4999,35,174965,37682.67,21.54,Online
Adidas Kolkata,RET-1473,2025-06-08,East,Kolkata,West Bengal,Sports Cap,999,47,46953,7227.35,15.39,Retail Store
Adidas Delhi,RET-1474,2025-06-14,North,Delhi,Delhi,Climacool T-shirt,2499,28,69972,9226.18,13.19,Online
Adidas Kolkata,RET-1475,2025-06-13,East,Kolkata,West Bengal,Track Jacket,4999,32,159968,21604.33,13.51,Online
Adidas Bengaluru,RET-1476,2025-06-12,South,Bengaluru,Karnataka,Adizero SL,11999,7,83993,16665.84,19.84,Retail Store
Adidas Kolkata,RET-1477,2025-06-27,East,Kolkata,West Bengal,Sports Cap,999,28,27972,3261.31,11.66,Retail Store
Adidas Delhi,RET-1478,2025-06-09,North,Delhi,Delhi,Adizero SL,11999,20,239980,45727.62,19.05,Retail Store
Adidas Chennai,RET-1479,2025-06-10,South,Chennai,Tamil Nadu,Superstar,8999,11,98989,15002.98,15.16,Retail Store
Adidas Chennai,RET-1480,2025-06-19,South,Chennai,Tamil Nadu,Superstar,8999,25,224975,23333.11,10.37,Online
Adidas Chennai,RET-1481,2025-06-18,South,Chennai,Tamil Nadu,Superstar,8999,50,449950,86622.96,19.25,Online
Adidas Mumbai,RET-1482,2025-06-13,West,Mumbai,Maharashtra,Climacool T-shirt,2499,17,42483,7901.89,18.6,Retail Store
Adidas Bengaluru,RET-1483,2025-06-02,South,Bengaluru,Karnataka,Track Jacket,4999,46,229954,44791.23,19.48,Online
Adidas Mumbai,RET-1484,2025-06-24,West,Mumbai,Maharashtra,Ultraboost 22,18999,10,189990,33809.2,17.8,Retail Store
Adidas Delhi,RET-1485,2025-06-05,North,Delhi,Delhi,Climacool T-shirt,2499,19,47481,10566.82,22.25,Retail Store
Adidas Bengaluru,RET-1486,2025-06-30,South,Bengaluru,Karnataka,Ultraboost 22,18999,37,702963,154254.04,21.94,Online
Adidas Mumbai,RET-1487,2025-06-02,West,Mumbai,Maharashtra,Climacool T-shirt,2499,22,54978,10209.62,18.57,Online
Adidas Delhi,RET-1488,2025-06-18,North,Delhi,Delhi,Sports Cap,999,16,15984,1753.84,10.97,Online
Adidas Kolkata,RET-1489,2025-06-27,East,Kolkata,West Bengal,Adizero SL,11999,21,251979,54936.02,21.8,Online
Adidas Kolkata,RET-1490,2025-06-08,East,Kolkata,West Bengal,Track Jacket,4999,29,144971,23183.38,15.99,Retail Store
Adidas Mumbai,RET-1491,2025-06-25,West,Mumbai,Maharashtra,Climacool T-shirt,2499,35,87465,17478.34,19.98,Retail Store
Adidas Bengaluru,RET-1492,2025-06-23,South,Bengaluru,Karnataka,Adizero SL,11999,34,407966,63330.44,15.52,Online
Adidas Bengaluru,RET-1493,2025-06-06,South,Bengaluru,Karnataka,Sports Cap,999,16,15984,3813.8,23.86,Retail Store
Adidas Chennai,RET-1494,2025-06-16,South,Chennai,Tamil Nadu,Track Jacket,4999,38,189962,24575.7,12.94,Online
Adidas Chennai,RET-1495,2025-06-21,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,35,87465,12429.84,14.21,Online
Adidas Delhi,RET-1496,2025-06-22,North,Delhi,Delhi,Ultraboost 22,18999,39,740961,124468.48,16.8,Online
Adidas Kolkata,RET-1497,2025-06-30,East,Kolkata,West Bengal,Superstar,8999,21,188979,42270.23,22.37,Online
Adidas Kolkata,RET-1498,2025-06-04,East,Kolkata,West Bengal,Adizero SL,11999,28,335972,81794.54,24.35,Online
Adidas Bengaluru,RET-1499,2025-06-12,South,Bengaluru,Karnataka,Track Jacket,4999,31,154969,30037.47,19.38,Retail Store
Adidas Mumbai,RET-1500,2025-06-21,West,Mumbai,Maharashtra,Superstar,8999,8,71992,7479.78,10.39,Online
Adidas Delhi,RET-1501,2025-06-07,North,Delhi,Delhi,Track Jacket,4999,45,224955,30000.38,13.34,Retail Store
Adidas Delhi,RET-1502,2025-06-22,North,Delhi,Delhi,Track Jacket,4999,37,184963,25992.3,14.05,Online
Adidas Delhi,RET-1503,2025-06-20,North,Delhi,Delhi,Sports Cap,999,23,22977,5679.09,24.72,Retail Store
Adidas Kolkata,RET-1504,2025-06-16,East,Kolkata,West Bengal,Ultraboost 22,18999,34,645966,155560.71,24.08,Online
Adidas Mumbai,RET-1505,2025-06-22,West,Mumbai,Maharashtra,Sports Cap,999,26,25974,3158.03,12.16,Retail Store
Adidas Chennai,RET-1506,2025-06-21,South,Chennai,Tamil Nadu,Adizero SL,11999,47,563953,88869.45,15.76,Retail Store
Adidas Delhi,RET-1507,2025-06-14,North,Delhi,Delhi,Adizero SL,11999,26,311974,34395.1,11.02,Retail Store
Adidas Bengaluru,RET-1508,2025-06-25,South,Bengaluru,Karnataka,Adizero SL,11999,17,203983,31804.7,15.59,Retail Store
Adidas Bengaluru,RET-1509,2025-06-24,South,Bengaluru,Karnataka,Sports Cap,999,48,47952,11302.24,23.57,Online
Adidas Chennai,RET-1510,2025-06-03,South,Chennai,Tamil Nadu,Superstar,8999,20,179980,28185.68,15.66,Retail Store
Adidas Chennai,RET-1511,2025-06-13,South,Chennai,Tamil Nadu,Superstar,8999,37,332963,53965.04,16.21,Online
Adidas Bengaluru,RET-1512,2025-06-28,South,Bengaluru,Karnataka,Ultraboost 22,18999,45,854955,116392.78,13.61,Retail Store
Adidas Chennai,RET-1513,2025-06-13,South,Chennai,Tamil Nadu,Superstar,8999,25,224975,27368.76,12.17,Online
Adidas Delhi,RET-1514,2025-06-20,North,Delhi,Delhi,Sports Cap,999,45,44955,8704.15,19.36,Online
Adidas Kolkata,RET-1515,2025-06-19,East,Kolkata,West Bengal,Adizero SL,11999,11,131989,19141.33,14.5,Retail Store
Adidas Kolkata,RET-1516,2025-06-23,East,Kolkata,West Bengal,Ultraboost 22,18999,43,816957,131523.0,16.1,Online
Adidas Bengaluru,RET-1517,2025-06-10,South,Bengaluru,Karnataka,Track Jacket,4999,42,209958,28479.53,13.56,Online
Adidas Delhi,RET-1518,2025-06-24,North,Delhi,Delhi,Adizero SL,11999,11,131989,25263.71,19.14,Retail Store
Adidas Mumbai,RET-1519,2025-06-01,West,Mumbai,Maharashtra,Sports Cap,999,8,7992,1361.09,17.03,Retail Store
Adidas Kolkata,RET-1520,2025-06-25,East,Kolkata,West Bengal,Ultraboost 22,18999,42,797958,113585.41,14.23,Online
Adidas Bengaluru,RET-1521,2025-06-29,South,Bengaluru,Karnataka,Adizero SL,11999,47,563953,116563.89,20.67,Online
Adidas Bengaluru,RET-1522,2025-06-28,South,Bengaluru,Karnataka,Climacool T-shirt,2499,7,17493,1776.93,10.16,Retail Store
Adidas Mumbai,RET-1523,2025-06-29,West,Mumbai,Maharashtra,Climacool T-shirt,2499,28,69972,8014.42,11.45,Retail Store
Adidas Bengaluru,RET-1524,2025-06-13,South,Bengaluru,Karnataka,Adizero SL,11999,41,491959,95047.59,19.32,Retail Store
Adidas Bengaluru,RET-1525,2025-06-05,South,Bengaluru,Karnataka,Superstar,8999,32,287968,30360.69,10.54,Online
Adidas Delhi,RET-1526,2025-06-15,North,Delhi,Delhi,Climacool T-shirt,2499,10,24990,5737.07,22.96,Retail Store
Adidas Kolkata,RET-1527,2025-06-30,East,Kolkata,West Bengal,Superstar,8999,31,278969,40475.78,14.51,Retail Store
Adidas Delhi,RET-1528,2025-06-27,North,Delhi,Delhi,Ultraboost 22,18999,21,398979,72907.85,18.27,Online
Adidas Kolkata,RET-1529,2025-06-02,East,Kolkata,West Bengal,Ultraboost 22,18999,26,493974,84647.89,17.14,Online
Adidas Bengaluru,RET-1530,2025-06-23,South,Bengaluru,Karnataka,Climacool T-shirt,2499,13,32487,7109.46,21.88,Retail Store
Adidas Bengaluru,RET-1531,2025-06-15,South,Bengaluru,Karnataka,Track Jacket,4999,37,184963,35648.73,19.27,Online
Adidas Mumbai,RET-1532,2025-06-15,West,Mumbai,Maharashtra,Track Jacket,4999,39,194961,38943.77,19.98,Online
Adidas Bengaluru,RET-1533,2025-06-29,South,Bengaluru,Karnataka,Superstar,8999,46,413954,84714.55,20.46,Online
Adidas Kolkata,RET-1534,2025-06-23,East,Kolkata,West Bengal,Superstar,8999,23,206977,35810.77,17.3,Online
Adidas Chennai,RET-1535,2025-06-06,South,Chennai,Tamil Nadu,Adizero SL,11999,22,263978,64494.35,24.43,Retail Store
Adidas Delhi,RET-1536,2025-06-12,North,Delhi,Delhi,Adizero SL,11999,49,587951,131483.54,22.36,Retail Store
Adidas Bengaluru,RET-1537,2025-06-16,South,Bengaluru,Karnataka,Track Jacket,4999,7,34993,3638.69,10.4,Online
Adidas Delhi,RET-1538,2025-06-09,North,Delhi,Delhi,Sports Cap,999,29,28971,3539.81,12.22,Retail Store
Adidas Chennai,RET-1539,2025-06-04,South,Chennai,Tamil Nadu,Track Jacket,4999,21,104979,16078.3,15.32,Online
Adidas Kolkata,RET-1540,2025-06-13,East,Kolkata,West Bengal,Superstar,8999,42,377958,48178.04,12.75,Online
Adidas Mumbai,RET-1541,2025-06-28,West,Mumbai,Maharashtra,Ultraboost 22,18999,16,303984,55542.77,18.27,Online
Adidas Kolkata,RET-1542,2025-06-10,East,Kolkata,West Bengal,Track Jacket,4999,40,199960,44092.67,22.05,Online
Adidas Delhi,RET-1543,2025-06-21,North,Delhi,Delhi,Adizero SL,11999,47,563953,76351.26,13.54,Retail Store
Adidas Mumbai,RET-1544,2025-06-22,West,Mumbai,Maharashtra,Ultraboost 22,18999,39,740961,115171.7,15.54,Online
Adidas Delhi,RET-1545,2025-06-28,North,Delhi,Delhi,Track Jacket,4999,38,189962,21627.56,11.39,Online
Adidas Delhi,RET-1546,2025-06-27,North,Delhi,Delhi,Superstar,8999,21,188979,24817.13,13.13,Online
Adidas Delhi,RET-1547,2025-06-10,North,Delhi,Delhi,Sports Cap,999,41,40959,7813.51,19.08,Online
Adidas Chennai,RET-1548,2025-06-10,South,Chennai,Tamil Nadu,Sports Cap,999,50,49950,9174.62,18.37,Retail Store
Adidas Delhi,RET-1549,2025-06-10,North,Delhi,Delhi,Ultraboost 22,18999,42,797958,105758.43,13.25,Retail Store
Adidas Mumbai,RET-1550,2025-06-26,West,Mumbai,Maharashtra,Ultraboost 22,18999,20,379980,56068.95,14.76,Retail Store
Adidas Mumbai,RET-1551,2025-06-06,West,Mumbai,Maharashtra,Track Jacket,4999,5,24995,6247.92,25.0,Online
Adidas Delhi,RET-1552,2025-06-28,North,Delhi,Delhi,Track Jacket,4999,28,139972,30459.75,21.76,Retail Store
Adidas Chennai,RET-1553,2025-06-15,South,Chennai,Tamil Nadu,Sports Cap,999,12,11988,2305.12,19.23,Online
Adidas Delhi,RET-1554,2025-06-29,North,Delhi,Delhi,Superstar,8999,9,80991,8392.6,10.36,Retail Store
Adidas Mumbai,RET-1555,2025-06-15,West,Mumbai,Maharashtra,Adizero SL,11999,45,539955,91313.0,16.91,Retail Store
Adidas Delhi,RET-1556,2025-06-11,North,Delhi,Delhi,Adizero SL,11999,35,419965,42784.83,10.19,Retail Store
Adidas Mumbai,RET-1557,2025-06-09,West,Mumbai,Maharashtra,Sports Cap,999,8,7992,1815.18,22.71,Online
Adidas Mumbai,RET-1558,2025-06-09,West,Mumbai,Maharashtra,Climacool T-shirt,2499,50,124950,16841.91,13.48,Online
Adidas Chennai,RET-1559,2025-06-20,South,Chennai,Tamil Nadu,Track Jacket,4999,35,174965,37614.8,21.5,Retail Store
Adidas Kolkata,RET-1560,2025-06-07,East,Kolkata,West Bengal,Climacool T-shirt,2499,21,52479,7843.0,14.95,Retail Store
Adidas Bengaluru,RET-1561,2025-06-05,South,Bengaluru,Karnataka,Track Jacket,4999,35,174965,28634.01,16.37,Online
Adidas Mumbai,RET-1562,2025-06-29,West,Mumbai,Maharashtra,Climacool T-shirt,2499,41,102459,17543.88,17.12,Retail Store
Adidas Kolkata,RET-1563,2025-06-30,East,Kolkata,West Bengal,Ultraboost 22,18999,19,360981,82363.2,22.82,Retail Store
Adidas Mumbai,RET-1564,2025-06-09,West,Mumbai,Maharashtra,Ultraboost 22,18999,38,721962,92598.66,12.83,Online
Adidas Delhi,RET-1565,2025-06-10,North,Delhi,Delhi,Superstar,8999,24,215976,27759.93,12.85,Online
Adidas Mumbai,RET-1566,2025-06-28,West,Mumbai,Maharashtra,Superstar,8999,17,152983,34564.32,22.59,Retail Store
Adidas Bengaluru,RET-1567,2025-06-16,South,Bengaluru,Karnataka,Ultraboost 22,18999,34,645966,101946.03,15.78,Online
Adidas Bengaluru,RET-1568,2025-06-27,South,Bengaluru,Karnataka,Climacool T-shirt,2499,36,89964,12089.14,13.44,Online
Adidas Delhi,RET-1569,2025-06-15,North,Delhi,Delhi,Track Jacket,4999,36,179964,25280.2,14.05,Retail Store
Adidas Mumbai,RET-1570,2025-06-28,West,Mumbai,Maharashtra,Ultraboost 22,18999,49,930951,139883.23,15.03,Online
Adidas Kolkata,RET-1571,2025-06-06,East,Kolkata,West Bengal,Sports Cap,999,30,29970,7408.64,24.72,Online
Adidas Chennai,RET-1572,2025-06-05,South,Chennai,Tamil Nadu,Ultraboost 22,18999,39,740961,151581.31,20.46,Online
Adidas Mumbai,RET-1573,2025-06-27,West,Mumbai,Maharashtra,Ultraboost 22,18999,47,892953,159534.78,17.87,Retail Store
Adidas Delhi,RET-1574,2025-06-24,North,Delhi,Delhi,Adizero SL,11999,18,215982,27229.99,12.61,Retail Store
Adidas Mumbai,RET-1575,2025-06-26,West,Mumbai,Maharashtra,Climacool T-shirt,2499,7,17493,4120.69,23.56,Retail Store
Adidas Kolkata,RET-1576,2025-06-11,East,Kolkata,West Bengal,Sports Cap,999,27,26973,3634.81,13.48,Retail Store
Adidas Bengaluru,RET-1577,2025-06-10,South,Bengaluru,Karnataka,Adizero SL,11999,27,323973,69786.17,21.54,Online
Adidas Delhi,RET-1578,2025-06-28,North,Delhi,Delhi,Sports Cap,999,23,22977,3992.05,17.37,Retail Store
Adidas Kolkata,RET-1579,2025-06-28,East,Kolkata,West Bengal,Adizero SL,11999,8,95992,16301.85,16.98,Online
Adidas Kolkata,RET-1580,2025-06-09,East,Kolkata,West Bengal,Superstar,8999,42,377958,93497.75,24.74,Online
Adidas Kolkata,RET-1581,2025-06-19,East,Kolkata,West Bengal,Superstar,8999,22,197978,49050.43,24.78,Retail Store
Adidas Chennai,RET-1582,2025-06-25,South,Chennai,Tamil Nadu,Adizero SL,11999,16,191984,29809.45,15.53,Online
Adidas Mumbai,RET-1583,2025-06-28,West,Mumbai,Maharashtra,Adizero SL,11999,42,503958,84374.08,16.74,Online
Adidas Chennai,RET-1584,2025-06-14,South,Chennai,Tamil Nadu,Superstar,8999,32,287968,67759.49,23.53,Retail Store
Adidas Bengaluru,RET-1585,2025-06-12,South,Bengaluru,Karnataka,Climacool T-shirt,2499,23,57477,10311.83,17.94,Retail Store
Adidas Mumbai,RET-1586,2025-06-19,West,Mumbai,Maharashtra,Sports Cap,999,35,34965,3596.08,10.28,Online
Adidas Mumbai,RET-1587,2025-06-24,West,Mumbai,Maharashtra,Adizero SL,11999,39,467961,77772.27,16.62,Retail Store
Adidas Bengaluru,RET-1588,2025-06-19,South,Bengaluru,Karnataka,Track Jacket,4999,28,139972,25956.07,18.54,Online
Adidas Delhi,RET-1589,2025-06-07,North,Delhi,Delhi,Adizero SL,11999,24,287976,49952.49,17.35,Retail Store
Adidas Chennai,RET-1590,2025-06-07,South,Chennai,Tamil Nadu,Sports Cap,999,27,26973,4042.51,14.99,Retail Store
Adidas Chennai,RET-1591,2025-06-21,South,Chennai,Tamil Nadu,Sports Cap,999,36,35964,6541.47,18.19,Retail Store
Adidas Mumbai,RET-1592,2025-06-05,West,Mumbai,Maharashtra,Climacool T-shirt,2499,8,19992,2539.79,12.7,Retail Store
Adidas Delhi,RET-1593,2025-06-14,North,Delhi,Delhi,Ultraboost 22,18999,23,436977,68055.67,15.57,Online
Adidas Kolkata,RET-1594,2025-06-09,East,Kolkata,West Bengal,Sports Cap,999,44,43956,8932.76,20.32,Retail Store
Adidas Delhi,RET-1595,2025-06-21,North,Delhi,Delhi,Adizero SL,11999,21,251979,46668.57,18.52,Online
Adidas Bengaluru,RET-1596,2025-06-06,South,Bengaluru,Karnataka,Sports Cap,999,11,10989,1100.47,10.01,Retail Store
Adidas Chennai,RET-1597,2025-06-01,South,Chennai,Tamil Nadu,Sports Cap,999,32,31968,7990.87,25.0,Online
Adidas Bengaluru,RET-1598,2025-06-25,South,Bengaluru,Karnataka,Superstar,8999,30,269970,44239.29,16.39,Online
Adidas Mumbai,RET-1599,2025-06-05,West,Mumbai,Maharashtra,Sports Cap,999,19,18981,4116.03,21.69,Online
Adidas Bengaluru,RET-1600,2025-06-14,South,Bengaluru,Karnataka,Adizero SL,11999,31,371969,86121.03,23.15,Online
Adidas Chennai,RET-1601,2025-06-13,South,Chennai,Tamil Nadu,Sports Cap,999,20,19980,4111.86,20.58,Online
Adidas Mumbai,RET-1602,2025-06-25,West,Mumbai,Maharashtra,Sports Cap,999,41,40959,8741.51,21.34,Online
Adidas Kolkata,RET-1603,2025-06-24,East,Kolkata,West Bengal,Sports Cap,999,11,10989,2563.04,23.32,Retail Store
Adidas Bengaluru,RET-1604,2025-06-30,South,Bengaluru,Karnataka,Ultraboost 22,18999,20,379980,69991.56,18.42,Retail Store
Adidas Delhi,RET-1605,2025-06-15,North,Delhi,Delhi,Superstar,8999,6,53994,11642.7,21.56,Retail Store
Adidas Mumbai,RET-1606,2025-06-08,West,Mumbai,Maharashtra,Climacool T-shirt,2499,10,24990,3814.98,15.27,Retail Store
Adidas Kolkata,RET-1607,2025-06-19,East,Kolkata,West Bengal,Sports Cap,999,30,29970,5963.44,19.9,Retail Store
Adidas Chennai,RET-1608,2025-06-17,South,Chennai,Tamil Nadu,Sports Cap,999,5,4995,1126.04,22.54,Online
Adidas Bengaluru,RET-1609,2025-06-21,South,Bengaluru,Karnataka,Superstar,8999,45,404955,94713.48,23.39,Retail Store
Adidas Chennai,RET-1610,2025-06-19,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,25,62475,14399.26,23.05,Retail Store
Adidas Delhi,RET-1611,2025-06-13,North,Delhi,Delhi,Track Jacket,4999,36,179964,44811.8,24.9,Retail Store
Adidas Chennai,RET-1612,2025-06-01,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,49,122451,14070.37,11.49,Retail Store
Adidas Chennai,RET-1613,2025-06-01,South,Chennai,Tamil Nadu,Ultraboost 22,18999,40,759960,186140.77,24.49,Online
Adidas Delhi,RET-1614,2025-06-30,North,Delhi,Delhi,Climacool T-shirt,2499,8,19992,3183.32,15.92,Online
Adidas Mumbai,RET-1615,2025-06-27,West,Mumbai,Maharashtra,Climacool T-shirt,2499,7,17493,4029.63,23.04,Retail Store
Adidas Kolkata,RET-1616,2025-06-02,East,Kolkata,West Bengal,Adizero SL,11999,31,371969,54146.57,14.56,Online
Adidas Chennai,RET-1617,2025-06-17,South,Chennai,Tamil Nadu,Sports Cap,999,48,47952,7013.2,14.63,Retail Store
Adidas Bengaluru,RET-1618,2025-06-26,South,Bengaluru,Karnataka,Adizero SL,11999,25,299975,62230.34,20.75,Retail Store
Adidas Chennai,RET-1619,2025-06-23,South,Chennai,Tamil Nadu,Ultraboost 22,18999,19,360981,42590.82,11.8,Retail Store
Adidas Chennai,RET-1620,2025-06-07,South,Chennai,Tamil Nadu,Sports Cap,999,22,21978,5117.05,23.28,Retail Store
Adidas Bengaluru,RET-1621,2025-06-23,South,Bengaluru,Karnataka,Climacool T-shirt,2499,24,59976,11734.91,19.57,Online
Adidas Chennai,RET-1622,2025-06-29,South,Chennai,Tamil Nadu,Superstar,8999,28,251972,61868.78,24.55,Online
Adidas Bengaluru,RET-1623,2025-06-09,South,Bengaluru,Karnataka,Climacool T-shirt,2499,27,67473,7560.23,11.2,Online
Adidas Mumbai,RET-1624,2025-06-21,West,Mumbai,Maharashtra,Ultraboost 22,18999,44,835956,106212.17,12.71,Retail Store
Adidas Delhi,RET-1625,2025-06-18,North,Delhi,Delhi,Track Jacket,4999,46,229954,25539.41,11.11,Online
Adidas Kolkata,RET-1626,2025-06-28,East,Kolkata,West Bengal,Climacool T-shirt,2499,13,32487,3356.68,10.33,Retail Store
Adidas Chennai,RET-1627,2025-06-30,South,Chennai,Tamil Nadu,Track Jacket,4999,36,179964,36827.15,20.46,Retail Store
Adidas Chennai,RET-1628,2025-06-19,South,Chennai,Tamil Nadu,Adizero SL,11999,32,383968,53328.91,13.89,Retail Store
Adidas Chennai,RET-1629,2025-06-06,South,Chennai,Tamil Nadu,Adizero SL,11999,45,539955,110443.5,20.45,Online
Adidas Delhi,RET-1630,2025-06-26,North,Delhi,Delhi,Adizero SL,11999,19,227981,48786.22,21.4,Online
Adidas Delhi,RET-1631,2025-06-02,North,Delhi,Delhi,Climacool T-shirt,2499,44,109956,23219.1,21.12,Online
